time,x,y,z,roll,pitch,yaw
1638729807.51262,,,,,,
1638729807.5725663,,,,,,
1638729807.630026,,,,,,
1638729807.691971,,,,,,
1638729807.750517,,,,,,
1638729807.811095,,,,,,
1638729807.8708699,,,,,,
1638729807.9309108,,,,,,
1638729807.9903085,,,,,,
1638729808.0518622,,,,,,
1638729808.11269,,,,,,
1638729808.1728692,0.6254563834655297,-0.03214350151887573,0.5901548305164294,4.033167874787637,40.97160316367259,84.69841312936339
1638729808.2327318,0.5944756321079441,-0.013622359240419595,0.5664611065622777,5.658353911248668,40.69620060736869,84.06565521563965
1638729808.2907794,,,,,,
1638729808.3492045,,,,,,
1638729808.4134023,,,,,,
1638729808.473263,0.4458074328110149,0.010817350999669618,0.5643429744385676,5.714167059657711,35.56245546298314,84.78338176783699
1638729808.5338619,0.3767378635070812,-0.011009683168327683,0.6083667129344486,3.827626198039354,29.94150708842968,84.52658667687051
1638729808.597575,0.38124283075005216,0.013885068299184254,0.5784774015058441,6.225640048051531,31.80686109128819,84.3858116025276
1638729808.654249,0.3621487076898028,0.005042543346266769,0.5864462800490549,5.559194287494165,30.566435052109465,84.52157011149224
1638729808.7162387,0.2744525629922251,-0.008518195127230874,0.6480889839199376,3.8691286877341895,22.25240926635492,85.27960968259907
1638729808.7743204,0.30174725116238044,-0.005605753802061263,0.6061740956618529,4.802402093987666,25.875441250408503,85.34489546584157
1638729808.835369,0.2830475900368797,0.0009564531158554601,0.6097635809970923,5.637087855780777,24.43810935404289,85.09424795656919
1638729808.8947163,0.278515926662128,-0.0035312202699614853,0.6035974530862609,5.570906383766868,24.467797563650816,84.80278046449783
1638729808.9537568,0.29099538035609257,0.0050010242609579425,0.5874560470023857,6.753068773781479,26.20355883584223,84.55537601671016
1638729809.0151436,0.27706795907212173,-9.332702395881132e-05,0.5896457124546864,6.2583405968884165,25.358154607680028,84.74228168834769
1638729809.0745876,0.2680487977428062,0.001554909811483908,0.5858738465500891,6.4311670667625265,25.008223438252195,84.82696317143956
1638729809.138138,0.2711206778695582,0.0065097561702178106,0.5790664310542085,7.091402482733088,25.77916815294296,84.5820145542961
1638729809.1968725,0.2774947312441386,0.0010585197948669578,0.5700541482609306,6.782383478953079,27.171706085462137,84.61648384275179
1638729809.2531388,0.24027450345752474,-0.0280554509443184,0.5787419192713715,3.6758876556657754,24.73140347441177,85.75817970814609
1638729809.3141077,0.17730928333972823,-0.021255160828649318,0.5906824581508168,3.956345665903143,19.528383955237555,85.8379852879485
1638729809.3700266,,,,,,
1638729809.4297974,,,,,,
1638729809.4901338,,,,,,
1638729809.5495794,,,,,,
1638729809.6106746,,,,,,
1638729809.6719415,,,,,,
1638729809.730296,,,,,,
1638729809.790834,,,,,,
1638729809.8551137,,,,,,
1638729809.9157023,,,,,,
1638729809.9706066,,,,,,
1638729810.030061,,,,,,
1638729810.0899944,,,,,,
1638729810.150744,,,,,,
1638729810.2090096,,,,,,
1638729810.272568,,,,,,
1638729810.3303092,,,,,,
1638729810.3902578,,,,,,
1638729810.4520748,,,,,,
1638729810.511532,,,,,,
1638729810.5713649,,,,,,
1638729810.626941,,,,,,
1638729810.6880713,,,,,,
1638729810.7510455,,,,,,
1638729810.8045115,,,,,,
1638729810.8569524,,,,,,
1638729810.9285653,,,,,,
1638729810.9898698,,,,,,
1638729811.046332,,,,,,
1638729811.1072392,,,,,,
1638729811.1678827,,,,,,
1638729811.2266681,,,,,,
1638729811.2860737,,,,,,
1638729811.345662,,,,,,
1638729811.4076238,,,,,,
1638729811.4652233,,,,,,
